score,open_hours_week,binned_score,coded_size,coded_review_counts,coded_price,num_photos,is_bus_web,is_phone_number,is_message_bus,num_attributes,num_questions,polarity,subjectivity,binned_score_y
3.0,65.9294813466788,high,2,164.0,1,89.0,1,1,0,13.0,0.0,0.16354111096535337,0.6129814013147347,2
4.0,84.0,high,0,99.0,1,372.0,1,1,0,12.0,0.0,0.21697570947570946,0.5282107892107895,2
4.0,84.0,high,0,99.0,1,372.0,1,1,0,12.0,0.0,0.21697570947570946,0.5282107892107895,2
3.5,91.0,medium,1,73.0,0,89.0,1,1,0,20.0,0.0,0.14832380430242273,0.5515079365079366,1
2.5,56.0,high,2,4.0,1,19.0,1,1,0,21.333842627960276,0.0,0.10951992753623187,0.5163819875776398,2
2.5,56.0,high,2,4.0,1,19.0,1,1,0,21.333842627960276,0.0,0.10951992753623187,0.5163819875776398,2
2.5,56.0,high,2,4.0,1,19.0,1,1,0,21.333842627960276,0.0,0.10951992753623187,0.5163819875776398,2
2.5,56.0,high,1,4.0,1,19.0,1,1,0,21.333842627960276,0.0,0.10951992753623187,0.5163819875776398,2
4.0,66.0,high,2,3441.0,1,4428.0,1,1,0,37.0,37.0,0.269060078133249,0.5536647309330236,2
4.0,58.0,high,0,431.0,1,328.0,1,1,0,22.0,3.0,0.28771109474717727,0.5545049909998363,2
4.0,32.5,high,1,1220.0,1,1107.0,1,1,0,34.0,21.0,0.32713483801551996,0.604163063044182,2
1.5,65.9294813466788,high,0,27.0,1,5.0,0,0,0,5.0,0.0,0.04059461805555555,0.5564275030525033,2
3.5,65.9294813466788,high,1,103.0,1,165.0,0,1,0,15.0,0.0,0.1193110119047619,0.5936408730158729,2
4.0,70.0,high,1,482.0,1,385.0,1,1,1,19.0,0.0,0.16904592139886257,0.5277103386809271,2
4.0,30.0,high,2,2870.0,2,7003.0,1,1,0,31.0,62.0,0.19372605261234105,0.566964547933711,2
4.5,42.0,high,2,2135.0,2,8247.0,1,1,0,33.0,46.0,0.2902274166511455,0.5957489723082942,2
